id,address,city,neighborhood,lat,lon,property_type,bedrooms,bathrooms,gla_sqft,lot_size_sqft,year_built,sale_date,sale_price
AB-00022,5852 Jasper Ave SE,Calgary,Kensington,51.028898,-114.090779,Detached,3,2.5,1713,3159,1956,2025-10-09,833600
AB-00023,10216 Hawthorn Rd NW,Edmonton,Windermere,53.42919,-113.635243,Townhouse,2,3.0,1544,0,2014,2024-09-05,581300
AB-00024,15000 Jasper St NW,Edmonton,Summerside,53.420119,-113.45235,Detached,6,4.5,3129,2624,1997,2025-07-12,1000300
AB-00025,5829 Township Rd NW,Edmonton,Summerside,53.410912,-113.42995,Semi-Detached,4,3.0,1263,3770,1986,2025-05-09,422800
AB-00026,2363 Hawthorn Gate NW,Edmonton,Bonnie Doon,53.549533,-113.472471,Detached,4,3.5,2001,5530,2022,2026-02-25,764500
AB-00027,9560 Willow Rd NW,Edmonton,Windermere,53.457043,-113.583519,Semi-Detached,3,2.5,1578,2520,2026,2025-11-28,601300
AB-00028,4610 Riverside Cres NE,Calgary,Kensington,51.062828,-114.083044,Condo,2,3.0,789,0,1965,2024-09-23,288900
AB-00029,5094 Sunalta Gate SE,Calgary,Mount Royal,51.041153,-114.086513,Detached,3,3.5,1750,2766,1985,2025-08-07,1122200
AB-00030,8383 Maple Rd NW,Edmonton,Bonnie Doon,53.548118,-113.438826,Detached,5,4.0,2932,6946,1972,2026-04-25,1102600
AB-00031,16886 Elbow Gate NW,Edmonton,Terwillegar,53.459762,-113.611913,Detached,3,4.5,2343,3033,1958,2026-02-03,844000
AB-00032,8589 Township Dr SE,Calgary,Tuscany,51.121758,-114.244032,Townhouse,3,2.5,1542,0,1999,2025-12-22,524900
AB-00033,6830 Whyte Cres NW,Edmonton,Westmount,53.534919,-113.526752,Townhouse,3,2.0,1208,0,1959,2024-09-12,341400
AB-00034,3350 Saddleback Cres SE,Calgary,Tuscany,51.138601,-114.230678,Detached,4,3.0,2181,5929,1971,2025-01-04,951400
AB-00035,799 Elbow Cres NW,Edmonton,Summerside,53.418799,-113.446159,Townhouse,3,3.5,1579,0,1994,2025-06-25,455900
AB-00036,1781 Sunalta Ave NW,Edmonton,Old Strathcona,53.52701,-113.46687,Condo,2,3.5,1240,0,1999,2025-07-30,359300
AB-00037,14464 Willow St NW,Edmonton,Summerside,53.409613,-113.451219,Condo,3,2.5,1270,0,1987,2025-12-25,313000
AB-00038,9208 Prospect Cres SW,Calgary,Beltline,51.046505,-114.108561,Townhouse,1,1.0,1034,0,1995,2025-10-10,422700
AB-00039,7765 Elbow Way SE,Calgary,Evanston,51.187711,-114.084106,Semi-Detached,4,3.5,1225,2263,2011,2024-08-26,424700
AB-00040,19228 Riverside St NW,Edmonton,Old Strathcona,53.50764,-113.49836,Condo,3,2.5,800,0,2000,2024-12-16,252500
AB-00041,2884 Whyte Way NW,Edmonton,Terwillegar,53.444133,-113.580763,Detached,5,3.0,2728,6149,1967,2025-07-10,1105100
AB-00042,2526 Maple Way NW,Edmonton,Summerside,53.445932,-113.438283,Townhouse,4,3.0,1577,0,1963,2024-08-30,427800
AB-00043,6108 Sunalta Blvd NW,Edmonton,Glenora,53.518785,-113.555706,Semi-Detached,3,2.5,1111,2949,1976,2024-06-10,445200
AB-00044,12503 Spruce Way NW,Edmonton,Glenora,53.543513,-113.531769,Condo,1,2.5,633,0,2004,2024-12-26,220300
AB-00045,18196 Maple St NW,Edmonton,Terwillegar,53.463846,-113.5903,Detached,4,3.0,1842,3215,2016,2025-12-21,705200
AB-00046,9284 Riverside Blvd SE,Calgary,Mount Royal,51.000997,-114.099852,Detached,5,5.0,2876,6508,2024,2024-11-23,2088400
AB-00047,9030 Crowchild Blvd NW,Edmonton,Windermere,53.451243,-113.628526,Condo,3,1.0,1074,0,1987,2024-10-27,306600
AB-00048,187 Maple Ave NW,Edmonton,Old Strathcona,53.501414,-113.489715,Detached,3,1.5,1428,6050,1992,2026-05-18,606800
AB-00049,9224 Bow Way NW,Edmonton,Windermere,53.428593,-113.647116,Townhouse,2,2.5,1229,0,1961,2025-08-08,401600
AB-00050,13019 Crowchild Ave NW,Edmonton,Windermere,53.417278,-113.612924,Detached,4,4.5,2430,5206,1976,2024-12-06,1111000
AB-00051,7876 Cedar Dr NE,Calgary,Mahogany,50.893833,-113.926437,Detached,5,3.5,2315,3146,1963,2024-08-09,834500
AB-00052,9597 Saddleback Ave NW,Edmonton,Garneau,53.509591,-113.530339,Detached,3,4.0,1676,3588,2023,2025-08-05,671500
AB-00053,5535 Crowchild Dr NE,Calgary,Inglewood,51.039224,-114.019093,Semi-Detached,3,2.5,1416,3545,1994,2025-09-18,648200
AB-00054,10121 Bow Blvd NW,Edmonton,Glenora,53.539098,-113.533708,Detached,6,4.0,2527,6542,2008,2026-02-12,1342300
AB-00055,2877 Willow Rd NW,Calgary,Inglewood,51.044987,-114.011635,Condo,2,2.0,786,0,1957,2024-08-25,251300
AB-00056,2470 Cedar Way NE,Calgary,Evanston,51.14611,-114.113921,Detached,2,3.5,1711,7014,1956,2025-04-01,708500
AB-00057,3939 Glenmore Way SE,Calgary,Kensington,51.046785,-114.082559,Detached,5,2.5,2303,7478,1987,2025-12-17,1284900
AB-00058,2084 Township Blvd SE,Calgary,Tuscany,51.11474,-114.225635,Detached,3,2.5,1419,4834,1966,2026-04-04,514800
AB-00059,18385 Crowchild Rd NW,Edmonton,Summerside,53.419578,-113.430868,Detached,4,4.5,2305,4463,1978,2024-07-30,784500
AB-00060,237 Spruce Rd SW,Calgary,Bridgeland,51.06215,-114.05562,Condo,2,2.5,1256,0,1971,2026-05-29,419700
AB-00061,7461 Aspen Gate NW,Calgary,Inglewood,51.033959,-114.031547,Condo,3,2.5,1191,0,2001,2025-08-24,439600
AB-00062,1289 Heritage Dr SE,Calgary,Tuscany,51.147421,-114.241394,Condo,2,2.0,798,0,2010,2025-04-12,231100
AB-00063,3454 Memorial Ave NW,Calgary,Tuscany,51.127012,-114.239182,Semi-Detached,4,3.0,1864,2231,1956,2025-03-19,575800
AB-00064,7059 Aspen Way NW,Calgary,Inglewood,51.019622,-114.030088,Condo,2,1.5,568,0,1985,2025-01-12,186500
AB-00065,12504 Prospect Dr NW,Edmonton,Old Strathcona,53.522361,-113.534559,Townhouse,4,3.0,1686,0,2025,2025-12-09,597900
AB-00066,3164 Bow Blvd NW,Edmonton,Windermere,53.437825,-113.604222,Detached,4,4.0,2313,4700,2001,2025-07-10,951500
AB-00067,9844 Heritage Dr NW,Edmonton,Old Strathcona,53.502627,-113.502778,Townhouse,3,1.5,1410,0,1963,2026-05-06,479600
AB-00068,2459 Maple St SE,Calgary,Tuscany,51.115469,-114.250186,Detached,5,5.0,3161,5749,1961,2024-12-13,1291400
AB-00069,8027 Whyte St NE,Calgary,Auburn Bay,50.888356,-113.968906,Detached,3,4.5,2064,5877,2009,2025-11-04,859000
AB-00070,15216 Jasper Way NW,Edmonton,Terwillegar,53.457227,-113.593915,Townhouse,3,3.0,1087,0,1986,2024-06-05,317800
AB-00071,6048 Jasper Dr NW,Edmonton,Terwillegar,53.473331,-113.543211,Townhouse,3,2.0,1103,0,2016,2026-03-22,328500
AB-00072,9986 Cedar Rd SW,Calgary,Kensington,51.059794,-114.11391,Condo,3,1.5,756,0,2003,2024-08-02,327500
AB-00073,7907 Elbow Dr NW,Edmonton,Westmount,53.540751,-113.559691,Detached,3,3.5,2134,3433,2026,2024-07-16,718100
AB-00074,4551 Jasper Gate SW,Calgary,Tuscany,51.126833,-114.253905,Detached,2,2.0,1641,4254,1969,2026-05-06,651300
AB-00075,6573 Memorial Cres NW,Edmonton,Summerside,53.417021,-113.46229,Townhouse,3,3.5,1302,0,1975,2025-07-16,341700
AB-00076,3193 Spruce Cres NW,Edmonton,Summerside,53.402198,-113.421627,Semi-Detached,4,3.0,1768,2055,1976,2024-10-09,525100
AB-00077,1933 Crowchild Cres NE,Calgary,Inglewood,51.052021,-114.037341,Condo,3,2.5,1144,0,2016,2025-05-15,446800
AB-00078,1119 Bow St SW,Calgary,Tuscany,51.120051,-114.224767,Townhouse,2,3.0,981,0,2011,2025-06-11,291500
AB-00079,7796 Spruce Gate NW,Calgary,Mount Royal,51.042356,-114.092921,Detached,5,3.0,1843,3819,1992,2026-02-13,1251900
AB-00080,3334 Maple St NW,Edmonton,Old Strathcona,53.517836,-113.484773,Detached,6,4.5,3159,4471,1971,2025-04-02,1203900
AB-00081,2500 Glenmore Dr SW,Calgary,Evanston,51.157733,-114.091539,Semi-Detached,3,2.5,1126,2949,1994,2025-12-23,402900
AB-00082,14259 Cedar St NW,Edmonton,Windermere,53.421318,-113.647913,Detached,5,3.5,2630,3734,2021,2026-02-22,1187200
AB-00083,2491 Spruce Cres NE,Calgary,Tuscany,51.132684,-114.265918,Condo,1,1.0,653,0,2022,2024-10-17,164400
AB-00084,8568 Bow Rd SE,Calgary,Inglewood,51.058571,-114.020739,Condo,2,1.0,993,0,1975,2026-02-14,345900
AB-00085,1218 Cedar Rd NE,Calgary,Inglewood,51.050633,-114.043734,Semi-Detached,5,3.0,1927,4001,2025,2024-09-18,960800
AB-00086,7278 Township Way SW,Calgary,Inglewood,51.015597,-114.027662,Detached,5,4.5,2544,2890,2017,2024-06-23,1155600
AB-00087,7963 Aspen St SW,Calgary,Signal Hill,51.070145,-114.166755,Detached,4,5.0,2730,3239,1997,2025-10-04,1191900
AB-00088,8359 Aspen Ave NW,Edmonton,Summerside,53.418137,-113.431019,Detached,4,4.5,3064,7466,1996,2025-08-02,1116600
AB-00089,1132 Willow Ave NW,Edmonton,Oliver,53.545695,-113.544587,Detached,4,4.0,2699,5473,1964,2025-01-03,1030400
AB-00090,7654 Willow Rd SW,Calgary,Inglewood,51.023996,-114.023486,Condo,3,2.5,1180,0,1998,2025-12-02,502300
AB-00091,10452 Glenmore St NW,Edmonton,Westmount,53.553575,-113.541246,Condo,2,2.5,662,0,1992,2025-02-18,164200
AB-00092,4070 Memorial Dr NW,Edmonton,Westmount,53.542327,-113.5397,Detached,4,5.0,3002,4844,1965,2025-10-12,1025300
AB-00093,18999 Willow Dr NW,Edmonton,Windermere,53.44957,-113.672765,Condo,3,2.0,1100,0,1984,2025-06-14,355100
AB-00094,2182 Macleod Gate SW,Calgary,Beltline,51.035285,-114.04906,Condo,4,3.0,1075,0,2012,2025-04-12,450900
AB-00095,200 Cedar Cres SW,Calgary,Auburn Bay,50.887386,-113.905138,Townhouse,4,3.0,1645,0,1983,2025-07-24,542500
AB-00096,1030 Memorial St NW,Edmonton,Terwillegar,53.454168,-113.578615,Semi-Detached,2,2.5,1160,2830,1981,2025-03-16,354000
AB-00097,9628 Aspen St NW,Edmonton,Summerside,53.409678,-113.421703,Detached,3,3.0,1756,6268,1997,2026-03-07,590500
AB-00098,2598 Riverside Rd NW,Calgary,Mahogany,50.893756,-113.959271,Detached,2,2.0,1630,4907,1961,2026-05-03,594400
AB-00099,1464 Glenmore Rd NE,Calgary,Signal Hill,51.056667,-114.188752,Condo,3,3.0,1124,0,1962,2026-05-21,336300
AB-00100,1155 Heritage Rd NE,Calgary,Inglewood,51.030307,-114.035534,Detached,5,4.5,2395,6215,1999,2024-07-31,1206300
AB-00101,15469 Cedar Gate NW,Edmonton,Oliver,53.545676,-113.514359,Townhouse,3,3.5,1492,0,1981,2024-06-24,501600
AB-00102,4553 Crowchild Ave NW,Calgary,Auburn Bay,50.870085,-113.968028,Condo,2,1.0,640,0,1982,2024-12-12,165200
AB-00103,5992 Crowchild St NW,Edmonton,Windermere,53.441353,-113.608185,Condo,3,3.0,1083,0,2008,2025-02-04,330800
AB-00104,10777 Whyte Ave NW,Edmonton,Terwillegar,53.476586,-113.586716,Condo,2,1.0,552,0,1992,2025-03-16,126300
AB-00105,2606 Heritage St NW,Calgary,Tuscany,51.126715,-114.230567,Condo,1,1.5,644,0,2015,2026-04-28,182400
AB-00106,1953 Township Gate SW,Calgary,Auburn Bay,50.897404,-113.95137,Condo,1,1.0,639,0,2020,2025-08-19,194500
AB-00107,3489 Spruce Blvd SE,Calgary,Kensington,51.05923,-114.108599,Townhouse,3,2.5,1555,0,2015,2024-09-21,689000
AB-00108,15103 Maple Cres NW,Edmonton,Garneau,53.524572,-113.539038,Townhouse,3,3.0,1398,0,2014,2024-11-03,472500
AB-00109,3148 Glenmore Way NW,Edmonton,Summerside,53.414606,-113.436699,Detached,4,4.5,2981,4791,2012,2024-09-04,983200
AB-00110,5601 Crowchild St SE,Calgary,Tuscany,51.105998,-114.232899,Townhouse,3,2.0,1476,0,2002,2025-08-24,445000
AB-00111,13233 Whyte Gate NW,Edmonton,Garneau,53.526972,-113.527842,Condo,1,3.0,988,0,1987,2025-12-02,306600
AB-00112,6675 Jasper Ave NW,Edmonton,Old Strathcona,53.527202,-113.494061,Townhouse,3,2.5,1193,0,2019,2025-07-17,433000
AB-00113,14687 Hawthorn Rd NW,Edmonton,Garneau,53.527083,-113.512279,Detached,5,4.0,2654,4700,1973,2024-09-01,999100
AB-00114,2823 Prospect Ave SE,Calgary,Mount Royal,51.016459,-114.105337,Detached,4,3.0,2849,6391,2022,2026-02-20,2070200
AB-00115,6138 Sunalta Rd SW,Calgary,Signal Hill,51.077394,-114.203727,Townhouse,4,3.5,1127,0,2008,2024-10-27,407600
AB-00116,9627 Cedar Rd NE,Calgary,Signal Hill,51.063996,-114.162237,Detached,5,5.0,2526,5098,1983,2025-06-30,1115200
AB-00117,8109 Elbow Dr SW,Calgary,Mahogany,50.904687,-113.917823,Condo,4,2.0,1186,0,1978,2025-04-21,349900
AB-00118,15274 Cedar Dr NW,Edmonton,Terwillegar,53.439099,-113.587265,Condo,3,3.0,787,0,2025,2024-11-19,299100
AB-00119,13182 Township Rd NW,Edmonton,Old Strathcona,53.523337,-113.498459,Townhouse,3,1.5,1092,0,1976,2024-12-07,359000
AB-00120,12137 Riverside St NW,Edmonton,Windermere,53.452342,-113.631238,Detached,3,2.5,2059,4180,1987,2026-01-05,861400
AB-00121,6362 Spruce Gate SE,Calgary,Auburn Bay,50.898828,-113.911053,Condo,1,3.0,765,0,1966,2026-03-04,215900
AB-00122,1641 Jasper Cres SE,Calgary,Kensington,51.0486,-114.11237,Condo,2,2.0,737,0,2018,2025-11-02,348100
AB-00123,2452 Macleod Rd NW,Edmonton,Glenora,53.552716,-113.517733,Semi-Detached,3,3.0,1365,3436,1955,2026-05-27,618500
AB-00124,8229 Glenmore Dr SE,Calgary,Tuscany,51.109832,-114.228788,Semi-Detached,3,2.0,1260,2113,1981,2025-10-05,365300
AB-00125,1051 Memorial Ave SE,Calgary,Auburn Bay,50.880115,-113.954367,Townhouse,3,3.0,1157,0,1967,2025-05-26,360100
AB-00126,7491 Township Rd NW,Calgary,Signal Hill,51.061002,-114.173773,Detached,4,2.5,2361,3633,1955,2024-08-13,901100
AB-00127,7403 Willow Rd SW,Calgary,Bridgeland,51.04627,-114.024893,Detached,4,2.0,1517,6616,1994,2025-06-30,845800
AB-00128,9621 Riverside Blvd NW,Calgary,Tuscany,51.095165,-114.272025,Semi-Detached,4,3.5,1777,3572,1988,2025-09-01,658400
AB-00129,4541 Glenmore Dr NW,Calgary,Beltline,51.050752,-114.067538,Detached,2,2.0,1692,6616,1959,2025-03-19,847700
AB-00130,7373 Maple Cres NE,Calgary,Bridgeland,51.040255,-114.052812,Condo,4,3.5,1207,0,1987,2024-10-20,469400
AB-00131,12421 Bow Rd NW,Edmonton,Westmount,53.551637,-113.550387,Condo,2,2.5,963,0,1988,2024-06-21,217000
AB-00132,4559 Willow Way SW,Calgary,Auburn Bay,50.884784,-113.950141,Townhouse,3,2.0,983,0,1995,2024-09-06,298200
AB-00133,1991 Saddleback Blvd NW,Edmonton,Garneau,53.527384,-113.513193,Detached,3,2.5,2052,3561,1998,2026-03-16,800500
AB-00134,8933 Spruce Dr SW,Calgary,Evanston,51.193526,-114.109648,Condo,1,2.0,906,0,1970,2025-01-07,222800
AB-00135,3637 Memorial Rd SW,Calgary,Bridgeland,51.046409,-114.058397,Detached,3,2.5,2339,3173,2001,2026-02-20,1134700
AB-00136,2394 Jasper St NW,Edmonton,Terwillegar,53.422179,-113.606048,Detached,6,5.0,2499,2661,2021,2024-07-09,778200
AB-00137,3306 Saddleback Gate NW,Calgary,Bridgeland,51.063891,-114.061414,Townhouse,2,3.5,1582,0,2004,2025-06-21,709300
AB-00138,5888 Saddleback Ave SE,Calgary,Beltline,51.02499,-114.070516,Condo,3,1.5,983,0,2012,2026-05-17,438800
AB-00139,8232 Township Way NW,Edmonton,Garneau,53.510985,-113.496063,Detached,5,2.0,1978,6493,2017,2025-10-01,961400
AB-00140,6621 Whyte Cres NE,Calgary,Auburn Bay,50.894608,-113.931731,Condo,3,2.5,1246,0,2010,2025-01-28,383800
AB-00141,7826 Willow Blvd NE,Calgary,Auburn Bay,50.877213,-113.940011,Detached,3,3.0,1977,5161,1961,2026-05-09,866800
AB-00142,16958 Whyte St NW,Edmonton,Westmount,53.563123,-113.507409,Detached,5,4.5,2347,7138,1968,2025-08-12,1031400
AB-00143,3105 Heritage Ave NW,Edmonton,Terwillegar,53.458364,-113.587488,Semi-Detached,3,3.0,1981,2084,2022,2025-10-11,727600
AB-00144,2776 Hawthorn Ave NW,Calgary,Evanston,51.169721,-114.057944,Semi-Detached,2,2.5,1507,3731,2022,2025-01-29,568800
AB-00145,9624 Heritage Cres NW,Calgary,Mahogany,50.874093,-113.939583,Semi-Detached,4,3.0,1798,2529,2024,2026-02-13,690300
AB-00146,3762 Riverside Dr SE,Calgary,Auburn Bay,50.853231,-113.971943,Detached,5,3.5,2101,4909,1972,2025-07-19,936900
AB-00147,5252 Aspen Dr SE,Calgary,Kensington,51.060286,-114.06062,Condo,2,2.5,638,0,1959,2024-12-26,224400
AB-00148,9320 Elbow Dr NE,Calgary,Mahogany,50.874245,-113.92534,Detached,5,4.5,2642,3068,1982,2025-07-31,1092200
AB-00149,899 Willow Way NW,Calgary,Kensington,51.056741,-114.083408,Detached,4,3.0,2286,2984,1991,2026-04-24,1415200
AB-00150,9622 Macleod Way NW,Edmonton,Summerside,53.423268,-113.443427,Townhouse,3,3.0,1597,0,1964,2025-04-12,370900
AB-00151,146 Township Gate SE,Calgary,Mount Royal,51.025965,-114.080004,Townhouse,3,2.5,1336,0,2020,2025-12-10,809100
AB-00152,3175 Prospect Ave NE,Calgary,Kensington,51.048966,-114.075339,Semi-Detached,4,3.5,1162,3248,2005,2025-03-18,549500
AB-00153,8436 Whyte Gate SW,Calgary,Evanston,51.181515,-114.114236,Condo,1,1.0,764,0,2003,2026-02-25,209600
AB-00154,15307 Saddleback Dr NW,Edmonton,Oliver,53.544495,-113.492422,Condo,2,1.5,645,0,1982,2025-07-03,174200
AB-00155,9312 Township Cres NW,Calgary,Mahogany,50.879961,-113.923618,Detached,4,2.5,1904,4457,1963,2024-08-06,692100
AB-00156,502 Elbow Cres SE,Calgary,Beltline,51.046432,-114.07482,Detached,4,2.0,1463,3913,2025,2025-09-29,716300
AB-00157,2098 Aspen Blvd SE,Calgary,Mount Royal,51.032071,-114.078572,Detached,4,3.5,3080,3475,1965,2025-07-22,2003500
AB-00158,12455 Glenmore Blvd NW,Edmonton,Windermere,53.424774,-113.594332,Condo,2,3.0,1013,0,1964,2025-02-10,317000
AB-00159,8098 Elbow Blvd SW,Calgary,Auburn Bay,50.899814,-113.953099,Townhouse,2,2.0,999,0,1968,2024-10-07,303400
AB-00160,18740 Jasper Rd NW,Edmonton,Old Strathcona,53.498374,-113.492209,Detached,6,4.5,2687,3439,2014,2024-08-19,1072600
AB-00161,12261 Spruce Cres NW,Edmonton,Summerside,53.401312,-113.411981,Semi-Detached,3,3.5,1561,2928,2025,2024-07-20,473600
AB-00162,18076 Jasper Dr NW,Edmonton,Summerside,53.424119,-113.436684,Semi-Detached,4,2.0,1545,3046,2006,2024-07-16,443500
AB-00163,19214 Willow Dr NW,Edmonton,Garneau,53.527288,-113.507593,Condo,3,2.0,1128,0,1980,2026-04-11,318400
AB-00164,2709 Whyte Way NW,Edmonton,Oliver,53.523874,-113.544282,Semi-Detached,3,3.5,1831,3078,1988,2025-02-12,677400
AB-00165,2983 Memorial Cres NE,Calgary,Kensington,51.036014,-114.096251,Condo,3,1.5,1111,0,1995,2024-08-21,500100
AB-00166,2806 Elbow Rd NE,Calgary,Bridgeland,51.065037,-114.068968,Townhouse,2,3.5,1607,0,2015,2024-10-07,701400
AB-00167,2140 Jasper Dr SW,Calgary,Auburn Bay,50.869752,-113.950835,Semi-Detached,4,3.0,1214,2328,1960,2025-07-31,424800
AB-00168,3576 Memorial Ave NW,Edmonton,Bonnie Doon,53.528985,-113.497715,Detached,4,2.5,2011,3381,1971,2025-05-09,639500
AB-00169,5029 Cedar Way NE,Calgary,Signal Hill,51.049812,-114.166635,Detached,3,3.0,1425,4015,2016,2025-02-26,581900
AB-00170,903 Sunalta St SE,Calgary,Mount Royal,51.026739,-114.095791,Condo,3,2.5,1201,0,1986,2026-03-13,679700
AB-00171,2262 Crowchild Blvd NW,Edmonton,Oliver,53.552778,-113.534637,Semi-Detached,3,2.5,1529,2993,1995,2026-05-25,535300
AB-00172,6101 Cedar Gate SE,Calgary,Beltline,51.049279,-114.068109,Condo,3,3.5,1186,0,1963,2026-03-13,460600
AB-00173,688 Township St SE,Calgary,Mahogany,50.874195,-113.940589,Semi-Detached,3,2.0,1410,2474,1967,2025-09-04,474900
AB-00174,19983 Township Dr NW,Edmonton,Garneau,53.518296,-113.520761,Detached,4,3.5,2732,6560,2025,2024-12-12,1115100
AB-00175,7740 Willow Dr SW,Calgary,Inglewood,51.017955,-114.028598,Detached,5,3.0,2016,3823,1955,2025-04-11,939100
AB-00176,4238 Sunalta Blvd NW,Edmonton,Westmount,53.52943,-113.526468,Detached,5,3.0,2904,5360,1996,2024-11-01,1053200
AB-00177,8259 Sunalta Blvd NW,Edmonton,Westmount,53.567313,-113.54776,Detached,3,3.0,1560,3281,1981,2025-07-18,469400
AB-00178,19859 Sunalta St NW,Edmonton,Glenora,53.54185,-113.539182,Townhouse,2,3.5,1414,0,1966,2025-03-29,571600
AB-00179,4313 Glenmore Cres NW,Edmonton,Westmount,53.572297,-113.523871,Detached,4,2.5,2145,3503,1967,2024-10-15,695600
AB-00180,8116 Township Way NW,Edmonton,Bonnie Doon,53.514863,-113.455486,Detached,5,3.0,2483,3773,1974,2024-09-08,955500
AB-00181,8498 Spruce Ave NW,Calgary,Auburn Bay,50.897106,-113.952921,Detached,2,3.0,1553,5696,1986,2025-12-25,718300
AB-00182,9390 Riverside Way NW,Calgary,Evanston,51.171751,-114.090273,Condo,2,1.0,587,0,1962,2025-08-27,113800
AB-00183,19736 Elbow Rd NW,Edmonton,Summerside,53.424037,-113.473626,Condo,1,2.0,881,0,2025,2025-11-27,244000
AB-00184,6811 Bow Cres NE,Calgary,Evanston,51.163921,-114.069634,Semi-Detached,3,3.5,1555,2869,2014,2025-12-28,583400
AB-00185,7174 Cedar Way NW,Edmonton,Bonnie Doon,53.524543,-113.425809,Condo,2,3.0,691,0,1955,2025-11-10,139100
AB-00186,6138 Macleod Dr SE,Calgary,Evanston,51.170024,-114.085489,Condo,1,2.0,716,0,1984,2025-06-14,163800
AB-00187,9163 Elbow Gate NW,Edmonton,Windermere,53.439374,-113.641616,Detached,4,2.5,1849,4184,1971,2025-08-18,745700
AB-00188,8385 Glenmore Blvd NW,Edmonton,Old Strathcona,53.51154,-113.492033,Semi-Detached,3,3.0,1645,2121,1987,2025-02-11,562100
AB-00189,8009 Elbow Blvd SW,Calgary,Mount Royal,51.022617,-114.108985,Townhouse,3,2.5,1331,0,2017,2025-07-06,748500
AB-00190,4549 Spruce Way NW,Calgary,Inglewood,51.009096,-114.025211,Detached,5,3.0,2013,6050,1962,2025-09-08,1170400
AB-00191,9037 Hawthorn Gate NW,Calgary,Signal Hill,51.077692,-114.171811,Condo,3,2.5,701,0,1959,2025-02-12,184000
AB-00192,19796 Maple Ave NW,Edmonton,Bonnie Doon,53.506228,-113.474603,Detached,4,2.5,1998,3165,1961,2024-07-16,641600
AB-00193,10489 Jasper Dr NW,Edmonton,Glenora,53.53691,-113.543493,Semi-Detached,3,3.5,1845,2081,2000,2025-04-19,705700
AB-00194,5002 Hawthorn Rd NW,Edmonton,Old Strathcona,53.519336,-113.502218,Semi-Detached,2,2.0,1411,2925,2012,2025-12-05,552100
AB-00195,13044 Glenmore St NW,Edmonton,Summerside,53.412099,-113.420714,Condo,4,1.0,1065,0,2018,2025-12-12,280100
